Fri Oct 29 12:31:33 2021    profile_training.prof

         19327317 function calls (18268618 primitive calls) in 198.618 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/resize_observation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/clip_action.py:7(ClipAction)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/clip_action.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/record_episode_statistics.py:7(RecordEpisodeStatistics)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/record_episode_statistics.py:1(<module>)
      100    0.003    0.000    0.012    0.000 /home/fomri/khedema/scheduler/core/uniform_instance_gen.py:4(permute_rows)
      100    0.002    0.000    0.038    0.000 /home/fomri/khedema/scheduler/core/uniform_instance_gen.py:13(uni_instance_gen)
        2    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/core/uniform_instance_gen.py:20(override)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/core/uniform_instance_gen.py:1(<module>)
    22500    0.552    0.000    1.630    0.000 /home/fomri/khedema/scheduler/core/updateEntTimeLB.py:4(lastNonZero)
    22500    0.689    0.000    2.985    0.000 /home/fomri/khedema/scheduler/core/updateEntTimeLB.py:14(calEndTimeLB)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/core/updateEntTimeLB.py:1(<module>)
    22500    0.293    0.000    4.811    0.000 /home/fomri/khedema/scheduler/core/permissibleLS.py:5(permissibleLeftShift)
    16211    0.119    0.000    0.181    0.000 /home/fomri/khedema/scheduler/core/permissibleLS.py:28(putInTheEnd)
    10253    0.283    0.000    0.837    0.000 /home/fomri/khedema/scheduler/core/permissibleLS.py:38(calLegalPos)
     6289    0.043    0.000    0.721    0.000 /home/fomri/khedema/scheduler/core/permissibleLS.py:49(putInBetween)
    22500    1.369    0.000    2.483    0.000 /home/fomri/khedema/scheduler/core/permissibleLS.py:60(calJobAndMchRdyTimeOfa)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/core/permissibleLS.py:1(<module>)
    22500    0.365    0.000    0.481    0.000 /home/fomri/khedema/scheduler/core/updateAdjMat.py:5(getActionNbghs)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/core/updateAdjMat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/vector/sync_vector_env.py:11(SyncVectorEnv)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/vector/sync_vector_env.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/monitor.py:12(Monitor)
        1    0.000    0.000    0.001    0.001 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/monitor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/monitoring/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/monitoring/stats_recorder.py:9(StatsRecorder)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/monitoring/stats_recorder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/utils/atomic_write.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/utils/json_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/monitoring/video_recorder.py:14(VideoRecorder)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/monitoring/video_recorder.py:174(TextEncoder)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/monitoring/video_recorder.py:236(ImageEncoder)
        1    0.000    0.000    0.001    0.001 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/monitoring/video_recorder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/spawn.py:7(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/errors.py:11(DistutilsError)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/errors.py:15(DistutilsModuleError)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/errors.py:20(DistutilsClassError)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/errors.py:27(DistutilsGetoptError)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/errors.py:31(DistutilsArgError)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/errors.py:36(DistutilsFileError)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/errors.py:42(DistutilsOptionError)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/errors.py:51(DistutilsSetupError)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/errors.py:56(DistutilsPlatformError)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/errors.py:62(DistutilsExecError)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/errors.py:67(DistutilsInternalError)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/errors.py:72(DistutilsTemplateError)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/errors.py:75(DistutilsByteCompileError)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/errors.py:79(CCompilerError)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/errors.py:82(PreprocessError)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/errors.py:85(CompileError)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/errors.py:88(LibError)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/errors.py:92(LinkError)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/errors.py:96(UnknownFileError)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/errors.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/debug.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/log.py:16(__init__)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/log.py:14(Log)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/log.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/time_limit.py:4(TimeLimit)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/time_limit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/filter_observation.py:7(FilterObservation)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/filter_observation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/atari_preprocessing.py:12(AtariPreprocessing)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/atari_preprocessing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/rescale_action.py:7(RescaleAction)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/rescale_action.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/flatten_observation.py:5(FlattenObservation)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/flatten_observation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/gray_scale_observation.py:7(GrayScaleObservation)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/gray_scale_observation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/frame_stack.py:8(LazyFrames)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/vector/async_vector_env.py:25(AsyncVectorEnv)
        1    0.000    0.000    0.001    0.001 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/vector/async_vector_env.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/vector/vector_env.py:8(VectorEnv)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/vector/vector_env.py:146(VectorEnvWrapper)
        1    0.000    0.000    0.001    0.001 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/vector/vector_env.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/vector/utils/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/vector/utils/misc.py:6(CloudpickleWrapper)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/vector/utils/misc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/vector/utils/numpy_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/vector/utils/spaces.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/vector/utils/shared_memory.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/core/JSSP_Env.py:12(__init__)
    45000    0.040    0.000    0.051    0.000 /home/fomri/khedema/scheduler/core/JSSP_Env.py:28(done)
      100    0.015    0.000    0.036    0.000 /home/fomri/khedema/scheduler/core/JSSP_Env.py:91(reset)
    22500    1.822    0.000   10.669    0.000 /home/fomri/khedema/scheduler/core/JSSP_Env.py:33(step)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/core/JSSP_Env.py:11(SJSSP)
        1    0.000    0.000    0.024    0.024 /home/fomri/khedema/scheduler/core/JSSP_Env.py:1(<module>)
        1    0.000    0.000    0.024    0.024 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/__init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/version.py:31(Version)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/version.py:93(StrictVersion)
        1    0.000    0.000    0.000    0.000 /home/fomri/anaconda3/lib/python3.7/distutils/version.py:267(LooseVersion)
        1    0.000    0.000    0.001    0.001 /home/fomri/anaconda3/lib/python3.7/distutils/version.py:27(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/core/models/mlp.py:54(__init__)
